Best: 0.264791 using {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 64, 'weight_constraint': 2}
0.095238 (0.077762) with: {'activation': 'relu', 'dropout_rate': 0.2, 'learning_rate': 0.01, 'neurons': 256, 'weight_constraint': 1}
0.171717 (0.058757) with: {'activation': 'relu', 'dropout_rate': 0.2, 'learning_rate': 0.01, 'neurons': 256, 'weight_constraint': 2}
0.189033 (0.069384) with: {'activation': 'relu', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 64, 'weight_constraint': 0}
0.186869 (0.034557) with: {'activation': 'relu', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 64, 'weight_constraint': 1}
0.186869 (0.034557) with: {'activation': 'relu', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 64, 'weight_constraint': 2}
0.125541 (0.045950) with: {'activation': 'relu', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 128, 'weight_constraint': 0}
0.233045 (0.060201) with: {'activation': 'relu', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 128, 'weight_constraint': 1}
0.154401 (0.092262) with: {'activation': 'relu', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 128, 'weight_constraint': 2}
0.201299 (0.091338) with: {'activation': 'relu', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 256, 'weight_constraint': 0}
0.202020 (0.053644) with: {'activation': 'relu', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 256, 'weight_constraint': 1}
0.139250 (0.062242) with: {'activation': 'relu', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 256, 'weight_constraint': 2}
0.186869 (0.034557) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 64, 'weight_constraint': 0}
0.141414 (0.068387) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 64, 'weight_constraint': 1}
0.173160 (0.061323) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 64, 'weight_constraint': 2}
0.141414 (0.040661) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 128, 'weight_constraint': 0}
0.188312 (0.041560) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 128, 'weight_constraint': 1}
0.173160 (0.082365) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 128, 'weight_constraint': 2}
0.139250 (0.062242) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 256, 'weight_constraint': 0}
0.173160 (0.061323) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 256, 'weight_constraint': 1}
0.157287 (0.060949) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 256, 'weight_constraint': 2}
0.125541 (0.045950) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 64, 'weight_constraint': 0}
0.173160 (0.061323) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 64, 'weight_constraint': 1}
0.157287 (0.060949) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 64, 'weight_constraint': 2}
0.109668 (0.023535) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 128, 'weight_constraint': 0}
0.157287 (0.090829) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 128, 'weight_constraint': 1}
0.173160 (0.061323) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 128, 'weight_constraint': 2}
0.170996 (0.055635) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 256, 'weight_constraint': 0}
0.173160 (0.061323) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 256, 'weight_constraint': 1}
0.157287 (0.046936) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 256, 'weight_constraint': 2}
0.158730 (0.118783) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.1, 'neurons': 64, 'weight_constraint': 0}
0.248918 (0.076158) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.1, 'neurons': 64, 'weight_constraint': 1}
0.141414 (0.068387) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.1, 'neurons': 64, 'weight_constraint': 2}
0.250361 (0.025386) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.1, 'neurons': 128, 'weight_constraint': 0}
0.094517 (0.039768) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.1, 'neurons': 128, 'weight_constraint': 1}
0.186869 (0.064943) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.1, 'neurons': 128, 'weight_constraint': 2}
0.142857 (0.102869) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.1, 'neurons': 256, 'weight_constraint': 0}
0.126263 (0.081648) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.1, 'neurons': 256, 'weight_constraint': 1}
0.141414 (0.068387) with: {'activation': 'tanh', 'dropout_rate': 0.1, 'learning_rate': 0.1, 'neurons': 256, 'weight_constraint': 2}
0.202742 (0.079673) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.001, 'neurons': 64, 'weight_constraint': 0}
0.125541 (0.045950) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.001, 'neurons': 64, 'weight_constraint': 1}
0.125541 (0.045950) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.001, 'neurons': 64, 'weight_constraint': 2}
0.189033 (0.079535) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.001, 'neurons': 128, 'weight_constraint': 0}
0.204906 (0.082919) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.001, 'neurons': 128, 'weight_constraint': 1}
0.157287 (0.090829) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.001, 'neurons': 128, 'weight_constraint': 2}
0.125541 (0.045950) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.001, 'neurons': 256, 'weight_constraint': 0}
0.248196 (0.081628) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.001, 'neurons': 256, 'weight_constraint': 1}
0.158009 (0.081928) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.001, 'neurons': 256, 'weight_constraint': 2}
0.141414 (0.040661) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.01, 'neurons': 64, 'weight_constraint': 0}
0.204906 (0.082919) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.01, 'neurons': 64, 'weight_constraint': 1}
0.141414 (0.068387) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.01, 'neurons': 64, 'weight_constraint': 2}
0.141414 (0.040661) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.01, 'neurons': 128, 'weight_constraint': 0}
0.157287 (0.060949) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.01, 'neurons': 128, 'weight_constraint': 1}
0.189033 (0.079535) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.01, 'neurons': 128, 'weight_constraint': 2}
0.189033 (0.079535) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.01, 'neurons': 256, 'weight_constraint': 0}
0.141414 (0.068387) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.01, 'neurons': 256, 'weight_constraint': 1}
0.125541 (0.081526) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.01, 'neurons': 256, 'weight_constraint': 2}
0.155123 (0.054596) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 64, 'weight_constraint': 0}
0.158730 (0.118783) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 64, 'weight_constraint': 1}
0.186869 (0.064943) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 64, 'weight_constraint': 2}
0.141414 (0.040661) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 128, 'weight_constraint': 0}
0.189033 (0.079535) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 128, 'weight_constraint': 1}
0.158730 (0.118783) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 128, 'weight_constraint': 2}
0.155123 (0.054596) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 256, 'weight_constraint': 0}
0.169553 (0.105097) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 256, 'weight_constraint': 1}
0.248918 (0.052694) with: {'activation': 'tanh', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 256, 'weight_constraint': 2}
0.141414 (0.068387) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 64, 'weight_constraint': 0}
0.109668 (0.023535) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 64, 'weight_constraint': 1}
0.125541 (0.045950) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 64, 'weight_constraint': 2}
0.173882 (0.098785) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 128, 'weight_constraint': 0}
0.126984 (0.097848) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 128, 'weight_constraint': 1}
0.095238 (0.077762) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 128, 'weight_constraint': 2}
0.139250 (0.099604) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 256, 'weight_constraint': 0}
0.063492 (0.044896) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 256, 'weight_constraint': 1}
0.111111 (0.097848) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 256, 'weight_constraint': 2}
0.234488 (0.039214) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 64, 'weight_constraint': 0}
0.126263 (0.060356) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 64, 'weight_constraint': 1}
0.126263 (0.060356) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 64, 'weight_constraint': 2}
0.141414 (0.040661) with: {'activation': 'sigmoid', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 128, 'weight_constraint': 0}
